trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.17741674119074,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,12,-0.48370565357104467,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9025}",20,0,-36.355819614631955,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-70.18810994392484,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-48.758532907939404,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7737809374999999}",20,0,-56.785739257003996,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.7350918906249998}",25,12,-50.055858240159644,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,13,-20.312377566428545,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,0,-78.46505866917235,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-68.423916880442,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5987369392383786}",20,6,-2.1700293133181026,"{0: 10, 1: 4, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5688000922764596}",20,0,-29.56653403837949,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5403600876626365}",25,10,-36.03589873024038,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.5133420832795047}",25,5,-30.812562582078428,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.48767497911552943}",25,2,-95.67552603552537,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.46329123015975293}",20,4,19.507272463553033,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.44012666865176525}",25,13,11.269151586779063,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.41812033521917696}",20,11,7.685270061946888,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.3972143184582181}",20,12,-17.796506121935465,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.37735360253530714}",25,0,-55.145369434867746,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.35848592240854177}",20,11,15.173033899696726,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.34056162628811465}",30,4,-70.71159647698074,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.3235335449737089}",30,16,-2.4500503379102225,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.30735686772502346}",35,0,-58.28139966615976,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.2919890243387723}",25,18,-29.84222347259925,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.27738957312183365}",20,9,-41.0828577447912,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.263520094465742}",30,8,-27.39150610981119,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.25034408974245487}",25,0,-60.264084207229004,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.2378268852553321}",25,13,15.15165747708385,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2259355409925655}",30,17,20.427433629310826,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.2146387639429372}",20,0,-161.7968657989195,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.20390682574579033}",20,9,-24.020395993551602,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.1937114844585008}",30,16,29.500740366021585,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.18402591023557577}",20,9,11.224553357967634,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.17482461472379698}",25,9,13.440079488798823,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.16608338398760714}",20,5,12.333172728618681,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.15777921478822676}",25,11,24.074937257973367,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14989025404881542}",25,4,-25.234153463396705,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.14239574134637464}",25,13,-17.351054668905203,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.1352759542790559}",25,10,-35.62083065001014,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.1285121565651031}",30,2,-11.000848787190044,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.12208654873684793}",25,3,18.540675260357954,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.11598222130000553}",20,16,10.183801003864982,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.11018311023500525}",20,12,13.306641585027538,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.10467395472325498}",20,13,13.723548468959384,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.09944025698709223}",25,0,-14.419535355780178,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
