trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.674070400667205,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.47586374581579,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.36920299376949,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.64453931369312,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-68.11374980689665,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.803223444202004,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.81307277334771,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,2,-121.13805102693618,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.55094571212328,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.37100960995986,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.16278881130725,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.54912686623062,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.05644956526994,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.2341766519525,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.65342394581259,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,5,-20.204477493693556,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.406343626720535,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.90455311117603,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.14484526559542,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.48917390165424,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.6378472964721,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-143.42011981240236,"{0: 20, 1: 5, 2: 2, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-16.899304133742373,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-208.15816566984282,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-194.25933743251437,"{0: 15, 1: 0, 2: 13, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.98931767822154,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.4059578632387,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,8,-24.89126748414267,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-77.00167451822584,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.1250303537898,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
